Reference in main table, Cite, doi
Tortello Esteban 2014, Tortello M. Esteban S. (2014). Early Ordovician Trilobites from the Nazareno Area Northwestern Argentina. Journal of Paleontology 88(5) 925-947,  https://doi.org/10.1017/S0022336000057589
Tortello Esteban 2016, Tortello M. Esteban S. (2016). Early Ordovician trilobites from the Iruya area (Cordillera Oriental northwestern Argentina) their stratigraphic significance. Journal of Paleontology 90(5) 923-958, https://doi.org/10.1017/jpa.2016.104
Tortello Esteban 2020, Tortello M. F. Esteban S. B. (2020). Trilobites sedimentary settings from the Lower Ordovician (Tremadocian Bienvillia tetragonalis Biozone) of Iturbe Jujuy Province Argentina. Ameghiniana 57 9-32, https://doi.org/10.5710/AMGH.15.10.2019.3257
Van Viersen 2007, Viersen A.P. (2007). Preliminary report of trilobites from the Hanonet Formation (Eifelian -Givetian transition) southern border of Dinant Synclinorium Belgium, 
Van Viersen Heising 2015, Viersen A.P. Heising H. (2015). Description of Kettneraspis? prescheri sp. nov. (Trilobita Odontopleuridae) from the ?couche rouge? (Pragian Lower Devonian) in Morocco. Geologica Belgica 1 15-20, https://popups.uliege.be/1374-8505/index.php?id=4780
Van Viersen Holland 2016, Viersen A.P. Holland D. (2016). Morphological trends new species of Cyphaspis (Trilobita Otarioninae) in the Devonian of Morocco Turkey Germany Belgium. Geologica Belgica 19 251-271, http://dx.doi.org/10.20341/gb.2016.008
Van Viersen Vanherle 2018, Van Viersen A.P. Vanherle W. (2018). The rise and fall of Late Devonian (Frasnian) trilobites from Belgium: taxonomy biostratigraphy and events. Geologica Belgica 21 73-94, https://doi.org/10.20341/gb.2018.005
Van Viersen Magrean 2019, Van Viersen A.P. Magrean B. (2019). Radiaspis taghonorum sp.?nov. (Trilobita Odontopleuridae) from the Middle Devonian Hanonet Formation in Resteigne southern Belgium. Neues Jahrbuch für Geologie und Paläontologie Abh. 293 271 - 281, https://doi.org/10.1127/njgpa/2019/0841
Van Viersen Prescher 2008, Van Viersen A.P. Prescher H. (2008). Devonian Proetidae (Trilobita) from the Ardennes Massif (Belgium N France) the Eifel Hills (W Germany). In: Steurbaut E. Jagt J.W.M. Jagt-Yazykova E.A. (Editors) Annie V. Dhondt Memorial Volume. Bulletin de l'Institut royal des Sciences naturelles de Belgique Sciences de la Terre 78 9-29, 
Van Viersen Prescher 2011, Van Viersen A.P. Prescher H. (2011). New species of the lichid trilobite Ceratarges from the middle Devonian in Morocco. Geologica Belgica 14 193-202, https://popups.uliege.be/1374-8505/index.php?id=3365
Van Viersen et al. 2017(a), Van Viersen A. Taghon P. Magrean B. (2017). The phacopid trilobites Austerops McKellar Chatterton 2009 Hottonops gen. nov. and Loreleiops gen. nov. from the Devonian of the Ardenno-Rhenish Mountains. Neues Jahrbuch für Geologie und Paläontologie 283 53-68, https://doi.org/10.1127/njgpa/2017/0626
Van Viersen et al. 2017(b), Van Viersen A.P. Holland D. Koppka J. 2017. The phacopine trilobite genera Morocops Basse 2006 Adrisiops gen. nov. from the Devonian of Morocco. Bulletin of Geosciences 92 (1) 13-30, https://doi.org/10.3140/bull.geosci.1610
Waisfeld 1997, Waisfeld B. G. (1997). Trilobites calymen ceos de la Formación Acoite (Arenigiano) en el contrafuerte occidental de la Cordillera Oriental Argentina. Ameghiniana 34(3) 333-343, https://www.ameghiniana.org.ar/index.php/ameghiniana/article/view/2388
Waisfeld 2001, Waisfeld B. G. (2001). Trilobites de la familia Olenidae en el Ordovicico Inferior (Arenigiano) de la Cordillera Oriental argentina. Ameghiniana 38(2) 195-211, https://www.ameghiniana.org.ar/index.php/ameghiniana/article/view/2602
Waisfeld Vaccari 2003, Waisfeld B.G. Vaccari N.E. (2003). Trilobites. In Benedetto Juan L. (ed.).2003.Ordovician Fossils of Argentina. Universidad Nacional de Córdoba. pp. 295-409, 
Waisfeld Vaccari 2006, Waisfeld B. G. Vaccari N. E. (2006). Revisión de la Biozona de Ogygiocaris araiorhachis (Trilobita Tremadociano tardío) en la región de Pascha-Incamayo Cordillera Oriental Argentina. Parte 2: Sistemática, https://www.ameghiniana.org.ar/index.php/ameghiniana/article/view/789
Waisfeld Vaccari 2008, Waisfeld B.G. Vaccari N.E. (2008). El género Thysanopyge (Trilobita Ordovicico Temprano): especies y distribución en el noroeste argentino. Ameghiniana 45 753-774, https://www.ameghiniana.org.ar/index.php/ameghiniana/article/view/727
Waisfeld et al. 2001, Waisfeld B. Vaccari N. Chatterton B. Edgecombe G. (2001). Systematics of Shumardiidae (Trilobita) with new species from the Ordovician of Argentina. Journal of Paleontology 75(4) 827-859, https://doi.org/10.1666/0022-3360(2001)075<0827:SOSTWN>2.0.CO;2
Waisfeld et al. 2006, Waisfeld B. G. Vaccari N. E. Toro B. A. Rubinstein C. V. Astini R. A. (2006). Revisión de la Biozona de Ogygiocaris araiorhachis (Trilobita Tremadociano tardio) en la región de Pascha-Incamayo Cordillera Oriental Argentina. Parte 1: Bioestratigrafia. Ameghiniana 43(4) 717-728, https://www.ameghiniana.org.ar/index.php/ameghiniana/article/view/789
